1360,8985
5948,4588
8029,1847
6447,313
3515,4254
1053,4904
4491,4434
9761,6606
8719,9978
2854,1748
1077,6569
2677,8473
7473,317
4262,1263
1095,5562
8844,1234
84,5592
7875,1262
7241,8596
7320,2189
9143,5376
4888,332
4524,9310
1947,9099
4652,2674
1260,6959
3503,5298
7882,153
4692,7437
223,1302
9745,3205
5245,2854
2037,8800
2387,5006
1602,1363
5862,3955
8125,2689
5653,820
7938,8075
2635,2834
960,9415
2375,6660
4555,3477
5730,737
1198,1477
3691,592
2074,4220
9336,9888
2112,4500
2062,7357
3319,1452
877,2333
8416,3676
9646,4055
7207,2536
1616,5345
3608,3358
9737,8229
5143,8504
9747,8884
788,3600
105,6151
5258,5486
7408,8683
6517,4598
3451,1996
1718,7908
4358,4514
1118,9865
2738,528
8072,3859
1457,7716
8551,2615
6726,1058
2580,9522
2297,4087
8662,7192
4135,1731
5220,7001
1267,9797
3773,7688
5117,1669
7905,8241
7152,4708
3789,4485
243,4069
8901,6379
6241,4695
7223,4759
2380,810
3668,4617
3514,8526
7916,2374
723,620
1957,3053
1222,8825
4605,7101
2371,601
4536,5436
1565,6650
